RESPALDO DE FORMULAS 15/7/2025,,,,,,,,
,,,,,,,,
ACRILO 3,NBR ACRILO,DUREZA:,70,,,,,
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"5,83","1,2","0,1795","2,57","4,8583","8114,4","208,2722"
53,AZUFRE,"2,33","2,07","0,4831","1,03","1,1256","2154,6","22,1019"
4,TMTD - VULKACIT THIURAM/C,"0,16","1,4","0,7143","0,07","0,1143","4813,2","3,3905"
37,LESTAROX-F - NOMANOX P,"1,16","1,33","0,7519","0,51","0,8722","8265,6","42,2123"
22,DIOXIDO DE TITANIO  TIONA,10,"3,16","0,2577","4,4","3,1646",4410,"194,1534"
3,MBT-S  - VULKACIT DM,"1,16","1,5","0,6667","0,51","0,7733","6249,6","31,9166"
54,ESTEARINA ANIMAL MATER 53 EF,"2,5","0,85","1,1765","1,1","2,9412","3490,2","38,4146"
,,,,,,,,
,,,,,,,,
AN 120/6,Acrilo Blanco Lacteos prensa,DUREZA:,60,,,,,
47,ACRILO CJLT,100,1,1,"41,3",100,"5493,6","2268,7701"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,100,"2,7","0,3704","41,3","37,037","844,2","348,6413"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),17,"0,98","1,0204","7,02","17,3469","3844,2857","269,897"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"5,83","1,2","0,1795","2,41","4,8583","8114,4","195,3702"
53,AZUFRE,"2,33","2,07","0,4831","0,96","1,1256","2154,6","20,7327"
4,TMTD - VULKACIT THIURAM/C,"0,16","1,4","0,7143","0,07","0,1143","4813,2","3,1804"
37,LESTAROX-F - NOMANOX P,"1,16","1,33","0,7519","0,48","0,8722","8265,6","39,5973"
22,DIOXIDO DE TITANIO  TIONA,10,"3,16","0,2577","4,13","3,1646",4410,"182,126"
3,MBT-S  - VULKACIT DM,"1,16","1,5","0,6667","0,48","0,7733","6249,6","29,9394"
54,ESTEARINA ANIMAL MATER 53 EF,"2,5","0,85","1,1765","1,03","2,9412","3490,2","36,0349"
2,MBT - VULKACIT MERKAPTO/C,2,"1,5","0,6667","0,83","1,3333",4977,"41,1084"
,,,,,,,,
,,,,,,,,
AN 120/7,Acrilo Blanco Lacteos PRENSA,DUREZA:,70,,,,,
47,ACRILO CJLT,100,1,1,"46,16",100,"5493,6","2535,8198"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,90,"2,7","0,3704","41,54","33,3333","844,2","350,7109"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),0,"0,98","1,0204",0,0,"3844,2857",0
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"5,83","1,2","0,1795","2,69","4,8583","8114,4","218,3667"
53,AZUFRE,"2,33","2,07","0,4831","1,08","1,1256","2154,6","23,1731"
4,TMTD - VULKACIT THIURAM/C,"0,16","1,4","0,7143","0,07","0,1143","4813,2","3,5548"
