RESPALDO DE FORMULAS 15/7/2025,,,,,,,,
,,,,,,,,
ACRILO 3,NBR ACRILO,DUREZA:,70,,,,,
47,ACRILO CJLT,100,1,1,50,100,"5493,6","2746,8"
38,NEGRO DE HUMO FEF N 550,90,"1,8","0,5556",45,50,"2507,4","1128,33"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),10,"0,98","1,0204",5,"10,2041","3844,2857","192,2143"
,,,,,,,,
,,,,,,,,
ACRILO PRUEBA,ACRILO RESISTENTE A ACEITES,DUREZA:,70,,,,,
244,ACRILO 3,134,"1,34","0,7463","53,03",100,10206,"5411,9668"
47,ACRILO CJLT,33,1,1,"13,06",33,"5493,6","717,4072"
40,THERMAX FEF N 990,20,"1,8","0,5556","7,91","11,1111",5859,"463,7119"
249,KALFLEX 17 DBP,19,"0,98","1,0204","7,52","19,3876","7495,7143","563,5875"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","1,98","4,1667","8114,4","160,554"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,4","1,1765","3490,2","13,8116"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,4","0,7519","8265,6","32,7091"
6,SULFADS-RHENOGRAN DTDM-80,"1,5","1,4","0,7143","0,59","1,0714","15321,6","90,9474"
53,AZUFRE,"0,7","2,07","0,4831","0,28","0,3382","2154,6","5,9684"
7,"CBS - VULKACIT CZ/EG-C
","1,8","1,25","0,8","0,71","1,44",5355,"38,144"
4,TMTD - VULKACIT THIURAM/C,"1,9","1,4","0,7143","0,75","1,3571","4813,2","36,1895"
3,MBT-S  - VULKACIT DM,"1,8","1,5","0,6667","0,71","1,2","6249,6","44,5163"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,32,"2,7","0,3704","12,66","11,8519","844,2","106,903"
,"23/08/22 - Se ajusta formulación: + 5 phr N990; + 2 phr aceite; +0.3 phr DTDM; -0,1 PHR AZUFRE",,,,,,,
,,,,,,,,
ACRILO PRUEBA 2,Acrilo resistente a aceites,DUREZA:,70,,,,,
244,ACRILO 3,134,"1,34","0,7463","53,47",100,10206,"5457,3184"
47,ACRILO CJLT,33,1,1,"13,17",33,"5493,6","723,419"
40,THERMAX FEF N 990,20,"1,8","0,5556","7,98","11,1111",5859,"467,5978"
249,KALFLEX 17 DBP,19,"0,98","1,0204","7,58","19,3876","7495,7143","568,3103"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333",2,"4,1667","8114,4","161,8994"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,4","0,7519","8265,6","32,9832"
53,AZUFRE,"0,7","2,07","0,4831","0,28","0,3382","2154,6","6,0184"
7,"CBS - VULKACIT CZ/EG-C
",2,"1,25","0,8","0,8","1,6",5355,"42,7374"
4,TMTD - VULKACIT THIURAM/C,"1,9","1,4","0,7143","0,76","1,3571","4813,2","36,4927"
3,MBT-S  - VULKACIT DM,2,"1,5","0,6667","0,8","1,3333","6249,6","49,8771"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,32,"2,7","0,3704","12,77","11,8519","844,2","107,7989"
,,,,,,,,
,,,,,,,,
AN 100/11 GR,Neopreno base GR ,DUREZA:,60,,,,,
150,EMPASTE NEOPRENO GR,"198,2","1,2","0,8333","94,79","165,1667",11340,"10748,8666"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,39","4,1667","8114,4","194,0316"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,91","1,25",5292,"101,2339"
53,AZUFRE,"0,5","2,07","0,4831","0,24","0,2415","2154,6","5,1521"
4,TMTD - VULKACIT THIURAM/C,"0,55","1,4","0,7143","0,26","0,3929","4813,2","12,6603"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,14","0,24",5355,"7,6829"
86,NA 22,"0,55","1,3","0,7692","0,26","0,4231",50400,"132,5681"
,,,,,,,,
,,,,,,,,
AN 100/11 GR 2,Neopreno base GR 2,DUREZA:,60,,,,,
150,EMPASTE NEOPRENO GR,"198,2","1,2","0,8333","93,01","165,1667",11340,"10547,1046"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,35","4,1667","8114,4","190,3895"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,88","1,25",5292,"99,3336"
53,AZUFRE,"0,5","2,07","0,4831","0,23","0,2415","2154,6","5,0554"
4,TMTD - VULKACIT THIURAM/C,"0,8","1,4","0,7143","0,38","0,5714","4813,2","18,0693"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,14","0,24",5355,"7,5387"
86,NA 22,"0,3","1,3","0,7692","0,14","0,2308",50400,"70,9526"
158,AFLUX 16,4,1,1,"1,88",4,5040,"94,6035"
,,,,,,,,
,,,,,,,,
AN 100/11 GR 3,Neopreno base GR 3,DUREZA:,60,,,,,
150,EMPASTE NEOPRENO GR,"198,2","1,2","0,8333","87,41","165,1667",11340,"9912,1852"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,21","4,1667","8114,4","178,9283"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,76","1,25",5292,"93,3539"
53,AZUFRE,"0,5","2,07","0,4831","0,22","0,2415","2154,6","4,751"
4,TMTD - VULKACIT THIURAM/C,"0,55","1,4","0,7143","0,24","0,3929","4813,2","11,6748"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,13","0,24",5355,"7,0849"
86,NA 22,"0,2","1,3","0,7692","0,09","0,1538",50400,"44,4542"
158,AFLUX 16,4,1,1,"1,76",4,5040,"88,9085"
80,ACEITE PESADO EXTRACTO AROMATICO,14,"0,898","1,1136","6,17","15,5902","2034,5212","125,6154"
,,,,,,,,
,,,,,,,,
AN 100/17,"Acrilo 98º C, medio alcalino",DUREZA:,80,,,,,
44,BAYPREN 210 - NEOPRENO W,80,"1,23","0,813","33,14","65,0407","10369,8","3436,5534"
38,NEGRO DE HUMO FEF N 550,80,"1,8","0,5556","33,14","44,4444","2507,4","830,9528"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,35,"2,7","0,3704","14,5","12,963","844,2","122,3985"
80,ACEITE PESADO EXTRACTO AROMATICO,10,"0,898","1,1136","4,14","11,1359","2034,5212","84,2801"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,07","4,1667","8114,4","168,0696"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,66","1,25",5292,"87,6885"
86,NA 22,"0,6","1,3","0,7692","0,25","0,4615",50400,"125,2693"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,62","1,5152",13041,"81,0336"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,62","1,1278","8265,6","51,3604"
32,CERA MICROCRISTALINA - ANTILUX 654,2,"0,9","1,1111","0,83","2,2222","8580,6","71,0903"
54,ESTEARINA ANIMAL MATER 53 EF,"0,5","0,85","1,1765","0,21","0,5882","3490,2","7,2291"
53,AZUFRE,"0,5","2,07","0,4831","0,21","0,2415","2154,6","4,4627"
4,TMTD - VULKACIT THIURAM/C,"0,5","1,4","0,7143","0,21","0,3571","4813,2","9,9693"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,12","0,24",5355,"6,6549"
58,CAUCHO NATURAL RSS1,20,"0,92","1,087","8,29","21,7391","4258,8","352,8418"
,,,,,,,,
,,,,,,,,
AN 100/2Cau,NEO VERDÚ,DUREZA:,70,,,,,
54,ESTEARINA ANIMAL MATER 53 EF,"0,5","0,85","1,1765","0,21","0,5882","3490,2","7,3929"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,12","4,1667","8114,4","171,8788"
32,CERA MICROCRISTALINA - ANTILUX 654,"2,5","0,9","1,1111","1,06","2,7778","8580,6","90,8769"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,42","0,7519","8265,6","35,0163"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,35,"2,7","0,3704","14,83","12,963","844,2","125,1726"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,69","1,25",5292,"89,6759"
53,AZUFRE,"0,5","2,07","0,4831","0,21","0,2415","2154,6","4,5639"
4,TMTD - VULKACIT THIURAM/C,"0,5","1,4","0,7143","0,21","0,3571","4813,2","10,1953"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,13","0,24",5355,"6,8058"
36,VULKANOX 4020    6PPD,"1,2","0,99","1,0101","0,51","1,2121",13041,"66,2961"
86,NA 22,"0,55","1,3","0,7692","0,23","0,4231",50400,"117,4327"
121,EMPASTE NEOPRENO,185,"1,4","0,7143","78,37","132,1455","7043,4","5520,1398"
,,,,,,,,
,,,,,,,,
AN 100/2rin,NEO VERDÚ,DUREZA:,70,,,,,
54,ESTEARINA ANIMAL MATER 53 EF,"0,5","0,85","1,1765","0,21","0,5882","3490,2","7,3929"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,12","4,1667","8114,4","171,8788"
32,CERA MICROCRISTALINA - ANTILUX 654,"2,5","0,9","1,1111","1,06","2,7778","8580,6","90,8769"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,42","0,7519","8265,6","35,0163"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,35,"2,7","0,3704","14,83","12,963","844,2","125,1726"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,69","1,25",5292,"89,6759"
53,AZUFRE,"0,5","2,07","0,4831","0,21","0,2415","2154,6","4,5639"
4,TMTD - VULKACIT THIURAM/C,"0,5","1,4","0,7143","0,21","0,3571","4813,2","10,1953"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,13","0,24",5355,"6,8058"
36,VULKANOX 4020    6PPD,"1,2","0,99","1,0101","0,51","1,2121",13041,"66,2961"
86,NA 22,"0,55","1,3","0,7692","0,23","0,4231",50400,"117,4327"
122,NEOVERDU,185,"1,4","0,7143","78,37","132,1429","9374,4","7347,0197"
,,,,,,,,
,,,,,,,,
AN 100/3,"Acrilo 98º C, medio alcalino",DUREZA:,70,,,,,
44,BAYPREN 210 - NEOPRENO W,100,"1,23","0,813","42,3","81,3008","10369,8","4386,5482"
38,NEGRO DE HUMO FEF N 550,65,"1,8","0,5556","27,5","36,1111","2507,4","689,4289"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,35,"2,7","0,3704","14,81","12,963","844,2","124,9873"
80,ACEITE PESADO EXTRACTO AROMATICO,20,"0,898","1,1136","8,46","22,2717","2034,5212","172,1253"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,12","4,1667","8114,4","171,6244"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,69","1,25",5292,"89,5431"
86,NA 22,"0,6","1,3","0,7692","0,25","0,4615",50400,"127,9188"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,63","1,5152",13041,"82,7475"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,63","1,1278","8265,6","52,4467"
32,CERA MICROCRISTALINA - ANTILUX 654,2,"0,9","1,1111","0,85","2,2222","8580,6","72,5939"
54,ESTEARINA ANIMAL MATER 53 EF,"0,5","0,85","1,1765","0,21","0,5882","3490,2","7,382"
53,AZUFRE,"0,5","2,07","0,4831","0,21","0,2415","2154,6","4,5571"
4,TMTD - VULKACIT THIURAM/C,"0,5","1,4","0,7143","0,21","0,3571","4813,2","10,1802"
7,"CBS - VULKACIT CZ/EG-C
","0,3","1,25","0,8","0,13","0,24",5355,"6,7957"
,,,,,,,,
,,,,,,,,
AN 101/1,Cloropreno ácidos sulfúrico y fórmico,DUREZA:,50,,,,,
246,EMPASTE NEOPRENO 210 GR,"110,4","1,2","0,8333","37,59",92,18018,"6772,8539"
44,BAYPREN 210 - NEOPRENO W,32,"1,23","0,813","10,9","26,0163","10369,8","1129,8386"
58,CAUCHO NATURAL RSS1,20,"0,92","1,087","6,81","21,7391","4258,8","290,0102"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,59,"2,7","0,3704","20,09","21,8519","844,2","169,5873"
56,FACTIS MARRON M2145,30,"1,06","0,9434","10,21","28,3019","6854,4","700,143"
80,ACEITE PESADO EXTRACTO AROMATICO,22,"0,898","1,1136","7,49","24,4989","2034,5212","152,3986"
31,EPSILUB,3,"0,9","1,1111","1,02","3,3333","8290,8","84,6864"
35,VULKANOX HS  TMQ,1,"0,85","1,1765","0,34","1,1765","4838,4","16,474"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,34","0,7519","8265,6","28,143"
32,CERA MICROCRISTALINA - ANTILUX 654,"2,5","0,9","1,1111","0,85","2,7778","8580,6","73,0388"
42,OXIDO DE ZINC ACTIVO,5,"5,57","0,1795","1,7","0,8977",6552,"111,5424"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,36","1,25",5292,"72,0735"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,34","1,1765","3490,2","11,8836"
53,AZUFRE,"0,5","2,07","0,4831","0,17","0,2415","2154,6","3,668"
4,TMTD - VULKACIT THIURAM/C,"0,5","1,4","0,7143","0,17","0,3571","4813,2","8,1941"
7,"CBS - VULKACIT CZ/EG-C
","1,2","1,25","0,8","0,41","0,96",5355,"21,8795"
86,NA 22,"0,6","1,3","0,7692","0,2","0,4615",50400,"102,9622"
,,,,,,,,
,,,,,,,,
AN 101/1 Rev.1,Cloropreno ácidos sulfúrico y fórmico,DUREZA:,50,,,,,
44,BAYPREN 210 - NEOPRENO W,80,"1,23","0,813","26,62","65,0407","10369,8","2760,6789"
58,CAUCHO NATURAL RSS1,20,"0,92","1,087","6,66","21,7391","4258,8","283,4476"
38,NEGRO DE HUMO FEF N 550,52,"1,8","0,5556","17,3","28,8889","2507,4","433,8928"
80,ACEITE PESADO EXTRACTO AROMATICO,39,"0,898","1,1136","12,98","43,4298","2034,5212","264,0477"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125","1,33","1,25",5292,"70,4426"
32,CERA MICROCRISTALINA - ANTILUX 654,"2,5","0,9","1,1111","0,83","2,7778","8580,6","71,386"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","1,66","4,1667","8114,4","135,015"
36,VULKANOX 4020    6PPD,"1,2","0,99","1,0101","0,4","1,2121",13041,"52,0772"
86,NA 22,"0,6","1,3","0,7692","0,2","0,4615",50400,"100,6323"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,33","1,1765","3490,2","11,6146"
7,"CBS - VULKACIT CZ/EG-C
","1,2","1,25","0,8","0,4","0,96",5355,"21,3844"
53,AZUFRE,"0,5","2,07","0,4831","0,17","0,2415","2154,6","3,585"
31,EPSILUB,3,"0,9","1,1111",1,"3,3333","8290,8","82,77"
56,FACTIS MARRON M2145,30,"1,06","0,9434","9,98","28,3019","6854,4","684,2995"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,59,"2,7","0,3704","19,63","21,8519","844,2","165,7498"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,33","0,7519","8265,6","27,5062"
4,TMTD - VULKACIT THIURAM/C,"0,5","1,4","0,7143","0,17","0,3571","4813,2","8,0087"
,,,,,,,,
,,,,,,,,
AN 101/2,Cloropreno ácidos sulfúrico y fórmico,DUREZA:,45,,,,,
44,BAYPREN 210 - NEOPRENO W,80,"1,23","0,813","39,9","65,0407","10369,8","4137,5761"
58,CAUCHO NATURAL RSS1,20,"0,92","1,087","9,98","21,7391","4258,8","424,818"
38,NEGRO DE HUMO FEF N 550,50,"1,8","0,5556","24,94","27,7778","2507,4","625,2868"
80,ACEITE PESADO EXTRACTO AROMATICO,35,"0,898","1,1136","17,46","38,9755","2034,5212","355,1533"
43,OXIDO DE MAGNESIO   MAGOX PREMIUM,4,"3,2","0,3125",2,"1,25",5292,"105,5761"
32,CERA MICROCRISTALINA - ANTILUX 654,"1,5","0,9","1,1111","0,75","1,6667","8580,6","64,194"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,49","4,1667","8114,4","202,3541"
36,VULKANOX 4020    6PPD,1,"0,99","1,0101","0,5","1,0101",13041,"65,0424"
86,NA 22,"0,5","1,3","0,7692","0,25","0,3846",50400,"125,6858"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,5","1,1765","3490,2","17,4075"
7,"CBS - VULKACIT CZ/EG-C
","0,5","1,25","0,8","0,25","0,4",5355,"13,3541"
53,AZUFRE,"0,5","2,07","0,4831","0,25","0,2415","2154,6","5,3731"
31,EPSILUB,"1,5","0,9","1,1111","0,75","1,6667","8290,8","62,0259"
,,,,,,,,
,,,,,,,,
AN 111/2,Acrilo SAE J 2000 3 BG 814 EA 14 EF 11 EO 14 EO 34,DUREZA:,75,,,,,
47,ACRILO CJLT,100,1,1,"49,24",100,"5493,6","2704,8744"
38,NEGRO DE HUMO FEF N 550,70,"1,8","0,5556","34,47","38,8889","2507,4","864,195"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),10,"0,98","1,0204","4,92","10,2041","3844,2857","189,2804"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,46","4,1667","8114,4","199,7637"
54,ESTEARINA ANIMAL MATER 53 EF,"1,5","0,85","1,1765","0,74","1,7647","3490,2","25,777"
53,AZUFRE,"0,7","2,07","0,4831","0,34","0,3382","2154,6","7,426"
7,"CBS - VULKACIT CZ/EG-C
","1,5","1,25","0,8","0,74","1,2",5355,"39,5495"
4,TMTD - VULKACIT THIURAM/C,1,"1,4","0,7143","0,49","0,7143","4813,2","23,6987"
14,VULKALENT G,"0,4","1,3","0,7692","0,2","0,3077","19857,6","39,109"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,74","1,5152",13041,"96,3146"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,74","1,1278","8265,6","61,0458"
32,CERA MICROCRISTALINA - ANTILUX 654,2,"0,9","1,1111","0,98","2,2222","8580,6","84,4963"
31,EPSILUB,2,"0,9","1,1111","0,98","2,2222","8290,8","81,6425"
57,DISECANTE RS - KEZADOL GR,6,2,"0,5","2,95",3,"3540,6","104,5968"
,,,,,,,,
,,,,,,,,
AN 112/1,ESPONJA DE ACRILO Revisión 2,DUREZA:,12,,,,,
47,ACRILO CJLT,100,1,1,"46,04",100,"5493,6","2529,2818"
38,NEGRO DE HUMO FEF N 550,15,"1,8","0,5556","6,91","8,3333","2507,4","173,163"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,62","22,2222","844,2","233,2044"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,91","14,1509","6854,4","473,3702"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),12,"0,98","1,0204","5,52","12,2449","3844,2857","212,3915"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,3","4,1667","8114,4","186,7956"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,46","1,1765","3490,2","16,0691"
53,AZUFRE,1,"2,07","0,4831","0,46","0,4831","2154,6","9,9199"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,32","0,4667","6249,6","20,1414"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,6243"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,69","1,1278","8265,6","57,0829"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,69","1,5152",13041,"90,0622"
176,ESPONJANTE TSH,4,1,1,"1,84",4,"53461,8","984,5635"
,,,,,,,,
,,,,,,,,
AN 112/1+ft,ESPONJA DE ACRILO 3phr mas de dioctil,DUREZA:,12,,,,,
47,ACRILO CJLT,100,1,1,"45,41",100,"5493,6","2494,8229"
38,NEGRO DE HUMO FEF N 550,15,"1,8","0,5556","6,81","8,3333","2507,4","170,8038"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,25","22,2222","844,2","230,0272"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,81","14,1509","6854,4","466,921"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),15,"0,98","1,0204","6,81","15,3061","3844,2857","261,8723"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,27","4,1667","8114,4","184,2507"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,45","1,1765","3490,2","15,8501"
53,AZUFRE,1,"2,07","0,4831","0,45","0,4831","2154,6","9,7847"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,32","0,4667","6249,6","19,867"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,3161"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,68","1,1278","8265,6","56,3052"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,68","1,5152",13041,"88,8351"
176,ESPONJANTE TSH,4,1,1,"1,82",4,"53461,8","971,1499"
,,,,,,,,
,,,,,,,,
AN 112/1-c-fef,ESPONJA DE ACRILO 4phr-car y fef,DUREZA:,12,,,,,
47,ACRILO CJLT,100,1,1,"48,44",100,"5493,6","2661,37"
38,NEGRO DE HUMO FEF N 550,11,"1,8","0,5556","5,33","6,1111","2507,4","133,6179"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,56,"2,7","0,3704","27,13","20,7407","844,2","229,0243"
56,FACTIS MARRON M2145,15,"1,06","0,9434","7,27","14,1509","6854,4","498,0913"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"9,22","0,98","1,0204","4,47","9,4082","3844,2857","171,7097"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,42","4,1667","8114,4","196,5507"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,48","1,1765","3490,2","16,9082"
53,AZUFRE,1,"2,07","0,4831","0,48","0,4831","2154,6","10,4379"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,34","0,4667","6249,6","21,1933"
1,DPG,"0,5","1,13","0,885","0,24","0,4425",9828,"23,8058"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,73","1,1278","8265,6","60,0639"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,73","1,5152",13041,"94,7655"
176,ESPONJANTE TSH,4,1,1,"1,94",4,"53461,8","1035,981"
,,,,,,,,
,,,,,,,,
AN 112/1-fef,ESPONJA DE ACRILO 4 phr - fef,DUREZA:,12,,,,,
47,ACRILO CJLT,100,1,1,"47,52",100,"5493,6","2610,7784"
38,NEGRO DE HUMO FEF N 550,11,"1,8","0,5556","5,23","6,1111","2507,4","131,0778"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","28,51","22,2222","844,2","240,7186"
56,FACTIS MARRON M2145,15,"1,06","0,9434","7,13","14,1509","6854,4","488,6228"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"9,22","0,98","1,0204","4,38","9,4082","3844,2857","168,4456"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,38","4,1667","8114,4","192,8144"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,48","1,1765","3490,2","16,5868"
53,AZUFRE,1,"2,07","0,4831","0,48","0,4831","2154,6","10,2395"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,33","0,4667","6249,6","20,7904"
1,DPG,"0,5","1,13","0,885","0,24","0,4425",9828,"23,3533"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,71","1,1278","8265,6","58,9222"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,71","1,5152",13041,"92,9641"
176,ESPONJANTE TSH,4,1,1,"1,9",4,"53461,8","1016,2874"
,,,,,,,,
,,,,,,,,
AN 112/1R1,ESPONJA DE ACRILO Revisión 1,DUREZA:,12,,,,,
47,ACRILO CJLT,100,1,1,"45,78",100,"5493,6","2515,1543"
38,NEGRO DE HUMO FEF N 550,15,"1,8","0,5556","6,87","8,3333","2507,4","172,1958"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,47","22,2222","844,2","231,9018"
56,FACTIS MARRON M2145,15,"1,06","0,9434","6,87","14,1509","6854,4","470,7261"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"9,22","0,98","1,0204","4,22","9,4082","3844,2857","162,276"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,29","4,1667","8114,4","185,7522"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,46","1,1765","3490,2","15,9793"
53,AZUFRE,1,"2,07","0,4831","0,46","0,4831","2154,6","9,8645"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,32","0,4667","6249,6","20,0289"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,4979"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,69","1,1278","8265,6","56,764"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,69","1,5152",13041,"89,5591"
176,ESPONJANTE TSH,8,1,1,"3,66",8,"53461,8","1958,1284"
,,,,,,,,
,,,,,,,,
AN 112/1R2,ESPONJA DE ACRILO Revisión 2,DUREZA:,12,,,,,
47,ACRILO CJLT,100,1,1,"46,64",100,"5493,6","2562,0744"
38,NEGRO DE HUMO FEF N 550,15,"1,8","0,5556",7,"8,3333","2507,4","175,4081"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,98","22,2222","844,2","236,228"
56,FACTIS MARRON M2145,15,"1,06","0,9434",7,"14,1509","6854,4","479,5075"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),"9,22","0,98","1,0204","4,3","9,4082","3844,2857","165,3032"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,33","4,1667","8114,4","189,2174"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,47","1,1765","3490,2","16,2774"
53,AZUFRE,1,"2,07","0,4831","0,47","0,4831","2154,6","10,0485"
3,MBT-S  - VULKACIT DM,"0,7","1,5","0,6667","0,33","0,4667","6249,6","20,4026"
1,DPG,"0,5","1,13","0,885","0,23","0,4425",9828,"22,9176"
37,LESTAROX-F - NOMANOX P,"1,5","1,33","0,7519","0,7","1,1278","8265,6","57,823"
36,VULKANOX 4020    6PPD,"1,5","0,99","1,0101","0,7","1,5152",13041,"91,2298"
176,ESPONJANTE TSH,4,1,1,"1,87",4,"53461,8","997,3286"
,,,,,,,,
,,,,,,,,
AN 112/1Rev.0,ESPONJA DE ACRILO Rev. 0,DUREZA:,12,,,,,
47,ACRILO CJLT,100,1,1,"45,78",100,"5493,6","2515,1543"
38,NEGRO DE HUMO FEF N 550,15,"1,8","0,5556","6,87","8,3333","2507,4","172,1958"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,60,"2,7","0,3704","27,47","22,2222","844,2","231,9018"
